brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
37,Brasserie d'Orval S.A.,1241860271,3.5,4.5,4.5,585,Irish Pale Ale,4.5,4,Orval Trappist Ale,6.9,129
35,Boston Beer Company (Samuel Adams),1209172389,4,3.5,4,1099,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
402,Old Dominion Brewing Company,1028805340,5,4.5,4,Mar-77,Irish Red Ale,4,4,Old Dubliner Amber Ale,4.6,4735
380,Brasserie Castelain,1032894706,5,4,4.5,Mar-77,Irish Pale Ale,4,4.5,Jade (Biere Biologique),4.6,2428
1304,Pelican Pub & Brewery,1047695797,5,3.5,4.5,Mar-77,Irish Cream Ale,4,3.5,Kiwanda Irish Cream Ale,5.1,8948
253,Casco Bay Brewing Co.,1054110292,5,3.5,4,Mar-77,Irish Red Ale,4,4,Casco Bay RipTide Red Ale,5.4,714
192,New Belgium Brewing,1018557173,4.5,4,3.5,Mar-77,Irish Pale Ale,4,4.5,Porch Swing Single Ale,6,1916
37,Brasserie d'Orval S.A.,1023645980,4.5,4.5,5,Mar-77,Irish Pale Ale,3,4,Orval Trappist Ale,6.9,129
192,New Belgium Brewing,1031165901,4.5,4,3.5,Mar-77,Irish Pale Ale,3.5,3,Loft,4,5170
184,Bierbrouwerij De Koningshoeven B.V.,1039544800,4.5,3,4,Mar-77,Irish Pale Ale,3.5,3,La Trappe Blond (Koningshoeven / Dominus),6.5,590
423,Boulevard Brewing Co.,1023047871,4.5,3.5,4,Mar-77,Irish Red Ale,4.5,4,Irish Ale,5.8,3279
827,Brouwerij De Bie / D'Hellekappelle,1028214651,4.5,4,4,Mar-77,Irish Pale Ale,4,4,Hellekapelle,5,2578
417,August Schell Brewing Company,1084150926,4.5,3,4.5,Mar-77,Irish Lager,3.5,3.5,FireBrick,5,2032
1112,Little Apple Brewing Company,1052569944,4.5,3.5,4,Mar-77,Irish Pale Ale,3,3,Al's Little Blonde Ale,5.6,9782
161,Florida Beer Company,1034097449,4.5,3.5,3.5,Mar-77,Irish Lager,3,3,Ybor Gold Amber Lager,4.6,18290
826,Brasserie de l'Abbaye du Val-Dieu,1028875546,4.5,4,4.5,Mar-77,Irish Pale Ale,4,4.5,Val-Dieu Blond,6,2574
42,Brewery Ommegang,1024509319,4.5,3.5,4.5,Mar-77,Irish Pale Ale,4.5,4,Rare Vos (Amber Ale),6.5,593
22,Unibroue,1052248227,4,4,3,Mar-77,Irish Pale Ale,4,3.5,Raftman,5.5,793
1413,Desert Edge Brewery,1022169387,4,4,3.5,Mar-77,Irish Dry Stout,4,4.5,Latter Days Stout,4,3804
489,Brouwerij 't IJ,1029178264,4,4.5,4.5,Mar-77,Irish Pale Ale,4,4.5,Columbus,9,1407
115,"Old Nutfield Brewing Company, Ltd.",1031680027,4,3.5,3.5,Mar-77,Irish Dry Stout,3.5,4,Black 47 Stout,4,1255
99,Matt Brewing Company,1069803732,4,3.5,4,Mar-77,Irish Lager,3.5,3,Saranac Season's Best - Nut Brown Lager,5.3,2019
136,Utah Brewers Cooperative,1022139517,4,3.5,3,Mar-77,Irish Lager,3,4,Squatters Irish Lager,4,3795
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",1021489789,3.5,3,2.5,Mar-77,Irish Lager,2.5,3,Dos Equis Amber Lager,4.5,171
35,Boston Beer Company (Samuel Adams),1018465851,3.5,4.5,4.5,Mar-77,Irish Lager,3.5,4,Samuel Adams Boston Lager,4.9,104
1549,Goose Island Beer Co.,1045072931,3,2.5,4.5,Mar-77,Irish Red Ale,2.5,2.5,Kilgubbin Red Ale,4.5,2778
240,Murphy Brewery Ireland Limited,1054318086,3,2.5,4,Mar-77,Irish Red Ale,3,2.5,Murphy's Irish Red Beer,5,913
240,Murphy Brewery Ireland Limited,1023739416,3,3.5,4,Mar-77,Irish Dry Stout,2.5,3,Murphy's Irish Stout,4,703
2078,Sweetwater Tavern & Brewery,1054570421,3,3.5,4.5,Mar-77,Irish Lager,2.5,2.5,Painted Lady Lager,5.5,10143
423,Boulevard Brewing Co.,1023048646,3,3,4,Mar-77,Irish Dry Stout,3.5,2,Dry Stout,5.2,3277
870,Moylan's Brewery,1028305092,3,4,3.5,Mar-77,Irish Red Ale,3,3.5,Danny's Irish Style Red Ale,6.5,40898
132,Rogue Ales,1017782810,2.5,3.5,3.5,Mar-77,Irish Cream Ale,3,3,Honey Irish Cream Ale,5.5,365
302,Genesee Brewing Co. / Dundee Brewing Co.,1022354753,2,2,3,Mar-77,Irish Cream Ale,3,1.5,Genesee Irish Cream Ale,5.2,1376
1141,Brasserie Dieu Du Ciel,1238895734,4.5,4.5,4,1121987,Irish Pale Ale,4.5,4.5,Dernière Volonté,6.5,18272
1535,Brasseurs R.J.,1240363493,3,3,2.5,1121987,Irish Pale Ale,3,3,No.926,5,41899
22512,Trapp Family Lodge Brewery,1316039993,4.5,4,4.5,05Harley,Irish Lager,4.5,4,Trapp Irish Lager,5,57738
30,Avery Brewing Company,1320360541,4,4,4,05Harley,Irish Dry Stout,4,4,Out Of Bounds Stout,6.3,1830
1549,Goose Island Beer Co.,1289608057,4,3.5,4,100floods,Irish Pale Ale,4,4,Demolition,7.2,49003
665,Smithwick's Brewery / Irish Ale Breweries Ltd,1132118456,4.5,3,3,10bear,Irish Red Ale,4.5,4.5,Smithwick's Ale,4.5,1822
696,Thomas Hooker Brewing Company,1194280721,3,3,3.5,11osixBrew,Irish Cream Ale,3,3.5,Thomas Hooker Blonde Ale,5.1,9801
14400,Ninkasi Brewing Company,1296016756,4,3,5,1759Girl,Irish Red Ale,4.5,3.5,Renewale - 2011,5.2,65234
870,Moylan's Brewery,1212113108,4,5,3,1759Girl,Irish Red Ale,3,4,Danny's Irish Style Red Ale,6.5,40898
470,Abbaye de Leffe S.A.,1219798830,3,4,3,1759Girl,Irish Pale Ale,4,3,Leffe Blonde,6.6,2137
193,Anderson Valley Brewing Company,1281484559,3,3.5,4,1759Girl,Irish Cream Ale,2,4,Summer Solstice Cerveza Crema,5.6,23506
22,Unibroue,1280694086,2.5,2,4,1759Girl,Irish Pale Ale,4,3,Raftman,5.5,793
780,Granville Island Brewery,1190766692,2,5,3,1759Girl,Irish Cream Ale,4,4,Kitsilano Maple Irish Cream Ale,5,9215
3,Abita Brewing Co.,1320453627,3,3,3,18alpha,Irish Lager,3.5,2,Amber,4.5,5
3,Abita Brewing Co.,1310959004,4,4,4,1after909,Irish Lager,4,4,Amber,4.5,5
423,Boulevard Brewing Co.,1205473066,4,3,4,1fastz28,Irish Red Ale,4,4,Irish Ale,5.8,3279
423,Boulevard Brewing Co.,1205809791,4,4.5,4,1fastz28,Irish Dry Stout,3.5,3.5,Dry Stout,5.2,3277
48,Brouwerij Van Steenberge N.V.,1230014248,4,3.5,4,1fastz28,Irish Pale Ale,3.5,4,Bruegel Amber Ale,5.2,1645
240,Murphy Brewery Ireland Limited,1223080831,3.5,3.5,4,1fastz28,Irish Dry Stout,4.5,3.5,Murphy's Irish Stout,4,703
37,Brasserie d'Orval S.A.,1197171316,3,2.5,4,1fastz28,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.9,129
42,Brewery Ommegang,1169275527,3,4.5,4,1fastz28,Irish Pale Ale,3.5,3,Rare Vos (Amber Ale),6.5,593
