review_overall,review_aroma,review_appearance,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid,,review_average_weighted
3.5,4.5,4.5,Irish Pale Ale,4.5,4,Orval Trappist Ale,7.17,129,,4.3
4,3.5,4,Irish Lager,4,4,Samuel Adams Boston Lager,7.26,104,,3.9
5,4.5,4,Irish Red Ale,4,4,Old Dubliner Amber Ale,5.28,4735,,4.1
5,4,4.5,Irish Pale Ale,4,4.5,Jade (Biere Biologique),7.23,2428,,4.2
5,3.5,4.5,Irish Cream Ale,4,3.5,Kiwanda Irish Cream Ale,4.95,8948,,3.8
5,3.5,4,Irish Red Ale,4,4,Casco Bay RipTide Red Ale,5.88,714,,3.9
4.5,4,3.5,Irish Pale Ale,4,4.5,Porch Swing Single Ale,6.12,1916,,4.1
4.5,4.5,5,Irish Pale Ale,3,4,Orval Trappist Ale,6.26,129,,4
4.5,4,3.5,Irish Pale Ale,3.5,3,Loft,5.81,5170,,3.5
4.5,3,4,Irish Pale Ale,3.5,3,La Trappe Blond (Koningshoeven / Dominus),7.24,590,,3.3
4.5,3.5,4,Irish Red Ale,4.5,4,Irish Ale,5.77,3279,,4
4.5,4,4,Irish Pale Ale,4,4,Hellekapelle,6.97,2578,,4
4.5,3,4.5,Irish Lager,3.5,3.5,FireBrick,4.9,2032,,3.6
4.5,3.5,4,Irish Pale Ale,3,3,Al's Little Blonde Ale,4.51,9782,,3.3
4.5,3.5,3.5,Irish Lager,3,3,Ybor Gold Amber Lager,5.42,18290,,3.2
4.5,4,4.5,Irish Pale Ale,4,4.5,Val-Dieu Blond,6.78,2574,,4.2
4.5,3.5,4.5,Irish Pale Ale,4.5,4,Rare Vos (Amber Ale),5.2,593,,4.1
4,4,3,Irish Pale Ale,4,3.5,Raftman,7.76,793,,3.7
4,4,3.5,Irish Dry Stout,4,4.5,Latter Days Stout,4.99,3804,,4.1
4,4.5,4.5,Irish Pale Ale,4,4.5,Columbus,7.1,1407,,4.4
4,3.5,3.5,Irish Dry Stout,3.5,4,Black 47 Stout,4.82,1255,,3.7
4,3.5,4,Irish Lager,3.5,3,Saranac Season's Best - Nut Brown Lager,5.06,2019,,3.4
4,3.5,3,Irish Lager,3,4,Squatters Irish Lager,5.37,3795,,3.4
3.5,3,2.5,Irish Lager,2.5,3,Dos Equis Amber Lager,5.38,171,,2.8
3.5,4.5,4.5,Irish Lager,3.5,4,Samuel Adams Boston Lager,5.67,104,,4.1
3,2.5,4.5,Irish Red Ale,2.5,2.5,Kilgubbin Red Ale,6.35,2778,,2.9
3,2.5,4,Irish Red Ale,3,2.5,Murphy's Irish Red Beer,5.95,913,,2.9
3,3.5,4,Irish Dry Stout,2.5,3,Murphy's Irish Stout,6.18,703,,3.2
3,3.5,4.5,Irish Lager,2.5,2.5,Painted Lady Lager,4.88,10143,,3.1
3,3,4,Irish Dry Stout,3.5,2,Dry Stout,6.75,3277,,3
3,4,3.5,Irish Red Ale,3,3.5,Danny's Irish Style Red Ale,4.28,40898,,3.5
2.5,3.5,3.5,Irish Cream Ale,3,3,Honey Irish Cream Ale,4.75,365,,3.2
2,2,3,Irish Cream Ale,3,1.5,Genesee Irish Cream Ale,4.86,1376,,2.3
4.5,4.5,4,Irish Pale Ale,4.5,4.5,Dernière Volonté,6.37,18272,,4.4
3,3,2.5,Irish Pale Ale,3,3,No.926,6.45,41899,,2.9
4.5,4,4.5,Irish Lager,4.5,4,Trapp Irish Lager,4.45,57738,,4.2
4,4,4,Irish Dry Stout,4,4,Out Of Bounds Stout,4.21,1830,,4
4,3.5,4,Irish Pale Ale,4,4,Demolition,6,49003,,3.9
