BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod
14716,Canned AG Starter,Irish Cream Ale,2.27,1.039,1.01,3.82,0,2.95,2.27,60,1.039,70,BIAB
18614,Ol' Blue,Irish Red Ale,3.79,1.054,1.011,5.63,27.25,16.14,4.73,60,1.043,75,All Grain
54940,Irish Red,Irish Red Ale,3.79,1.053,1.014,5.04,30.75,19.79,4.73,60,1.042,70,All Grain
206,Bruxelles Blonde Clone (?),Irish Pale Ale,3.79,1.056,1.013,5.63,19.2,4.77,4.73,60,1.042,70,All Grain
70538,Belgian Blonde,Irish Pale Ale,3.79,1.065,1.018,6.16,23.47,5.03,4.73,60,1.047,70,All Grain
17742,Red Ale 1 gallon,Irish Cream Ale,3.79,1.06,1.015,5.86,36.01,7.55,5.68,60,1.04,75,All Grain
52662,Winter is coming Mint choc stout 1 gal,Irish Dry Stout,3.79,1.043,1.011,4.19,34.63,36.22,5.68,60,1.028,70,All Grain
2711,Avocado Irish Cream Ale #1,Irish Cream Ale,3.79,1.049,1.009,5.23,20.78,3.25,5.68,60,1.033,70,All Grain
8791,1 Gallon Imperial Irish Cream Ale,Irish Cream Ale,3.79,1.069,1.016,6.98,17.63,3.62,5.68,60,1.046,70,All Grain
19239,Communist Manifesto Red,Irish Red Ale,3.79,1.058,1.014,5.66,25.63,12.72,5.68,90,1.038,70,All Grain
63838,Tea & Toast,Irish Pale Ale,3.79,1.055,1.015,5.26,19.34,9.56,5.68,60,1.037,68,All Grain
62368,Eggnog Irish Cream Ale,Irish Cream Ale,3.79,1.066,1.013,6.87,23.08,4.91,5.68,60,1.044,68,All Grain
47520,BLACK IRISH,Irish Red Ale,3.79,1.049,1.009,5.22,31.96,22.95,5.68,60,1.033,65,BIAB
53748,Simple Irish Cream Ale,Irish Cream Ale,3.79,1.052,1.009,5.61,31.05,5.02,6.06,60,1.032,70,All Grain
22459,Red Ale #1,Irish Red Ale,3.79,1.069,1.018,6.66,20.78,17.29,6.06,60,1.043,70,All Grain
72071,Crispy Trout,Irish Cream Ale,3.79,1.085,1.013,9.48,28.24,8.88,6.81,60,1.047,75,All Grain
72177,Xtra Crispy Trout (#2),Irish Cream Ale,3.79,1.093,1.014,10.4,32.48,9.24,6.81,60,1.052,75,All Grain
72006,Cornholio,Irish Cream Ale,3.79,1.065,1.009,7.25,14.85,3.35,6.81,60,1.036,70,All Grain
11679,Celtic red potato ale,Irish Red Ale,3.79,1.055,1.014,5.5,25.35,14.94,7.57,60,1.028,68,BIAB
61985,Grandpa Jack,Irish Cream Ale,3.79,1.049,1.009,5.2,14.8,3.23,7.57,60,1.024,65,All Grain
40320,Engagement Ring Blender,Irish Pale Ale,3.79,1.053,1.012,5.45,21.81,15.37,9.46,60,1.021,70,All Grain
63381,Irish Cream Ale,Irish Cream Ale,3.79,1.049,1.008,5.3,12.42,3.99,9.46,90,1.019,70,All Grain
31090,Guiness Clone,Irish Dry Stout,3.79,1.047,1.012,4.59,40.4,50,9.84,60,1.018,75,All Grain
35923,O'Mally's red  ale,Irish Red Ale,3.79,1.044,1.013,4.05,23.08,11.87,11.36,60,1.015,70,All Grain
56382,Thomand Park Roar,Irish Red Ale,3.8,1.046,1.01,4.66,25.68,13.4,3.8,60,1.046,70,All Grain
60503,Bruxelles Pale Ale,Irish Pale Ale,3.8,1.052,1.015,4.74,17.55,10.24,4.7,60,1.042,64,All Grain
55027,Irish Stout Curso,Irish Dry Stout,3.8,1.044,1.01,4.37,34.71,27.95,5,60,1.033,75,All Grain
62598,Belgian pale,Irish Pale Ale,3.8,1.0506,1.0124,5.12,31.05,10.24,7.1,60,1.0276,75,BIAB
