BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod,,Difference_Size
56382,Thomand Park Roar,Irish Red Ale,7.46,1.053,1.01,3.86,25.68,13.4,13.1,60,1.0463,70,All Grain,,5.64
60503,Bruxelles Pale Ale,Irish Pale Ale,19.9,1.0614,1.015,4,17.55,10.24,27.19,60,1.0412,64,All Grain,,7.3
206,Bruxelles Blonde Clone (?),Irish Pale Ale,21.44,1.0681,1.0136,5.78,19.2,4.77,31.32,60,1.0409,70,All Grain,,9.88
18614,Ol' Blue,Irish Red Ale,21.68,1.0659,1.0116,5.78,27.25,16.14,36.33,60,1.0423,75,All Grain,,14.65
54940,Irish Red,Irish Red Ale,21.79,1.0634,1.0142,4.57,30.75,19.79,36.95,60,1.041,70,All Grain,,15.16
70538,Belgian Blonde,Irish Pale Ale,29.49,1.0767,1.0179,6.44,23.47,5.03,43.9,60,1.0488,70,All Grain,,14.42
2358,Gard og Hallvors Irish red,Irish Red Ale,31.3,1.0736,1.0171,5.9,3.41,26.22,45.56,60,1.0416,75,Partial Mash,,14.26
28844,Paters' Ryebier,Irish Pale Ale,32.65,1.0608,1.0124,4.93,23.15,10.66,47.43,60,1.0391,70,All Grain,,14.78
30021,JabeerIÒi's Irish Dry Stout,Irish Dry Stout,34.23,1.0694,1.0137,6.13,28.87,33.99,48.28,90,1.0524,79,All Grain,,14.05
43403,Murphys/Guinness ChocoDILUTION,Irish Dry Stout,35.22,1.0816,1.0174,7.52,60.02,41.81,49.68,60,1.067,70,All Grain,,14.46
55027,Irish Stout Curso,Irish Dry Stout,35.44,1.05,1.0098,3.34,34.71,27.95,49.71,60,1.0265,75,All Grain,,14.27
2711,Avocado Irish Cream Ale #1,Irish Cream Ale,35.55,1.0576,1.009,4.95,20.78,3.25,50.02,60,1.0261,70,All Grain,,14.47
8791,1 Gallon Imperial Irish Cream Ale,Irish Cream Ale,35.64,1.0796,1.0166,7.24,17.63,3.62,50.2,60,1.0474,70,All Grain,,14.56
17742,Red Ale 1 gallon,Irish Cream Ale,35.76,1.0728,1.0155,6.1,36.01,7.55,51.76,60,1.0384,75,All Grain,,16
18906,Belgian Pale Pumpkin Ale,Irish Pale Ale,35.93,1.0562,1.0079,5.04,23.58,17.27,52.31,90,1.0295,75,All Grain,,16.38
19239,Communist Manifesto Red,Irish Red Ale,37.18,1.0704,1.0146,5.81,25.63,12.72,52.38,90,1.0356,70,All Grain,,15.2
47520,BLACK IRISH,Irish Red Ale,38.9,1.0576,1.009,4.93,31.96,22.95,52.59,60,1.0261,65,BIAB,,13.69
52662,Winter is coming Mint choc stout 1 gal,Irish Dry Stout,40.42,1.0483,1.0109,3.02,34.63,36.22,53.46,60,1.0194,70,All Grain,,13.04
62368,Eggnog Irish Cream Ale,Irish Cream Ale,41.68,1.0779,1.0138,7.2,23.08,4.91,53.78,60,1.0444,68,All Grain,,12.1
63838,Tea & Toast,Irish Pale Ale,43.17,1.0664,1.0152,5.01,19.34,9.56,53.8,60,1.0341,68,All Grain,,10.63
